Sentence_ID,Token,POS,Selected_Synset
106,the,DT,
106,output,NN,output.n.01
106,of,IN,
106,that,DT,
106,system,NN,system.n.01
106,.,,
107,Affected,JJ,affected.a.01
107,person,NN,person.n.01
107,is,VBZ,be.v.02
107,an,DT,
107,organization,NN,organization.n.01
107,or,CC,
107,individual,NN,individual.n.01
107,directly,RB,directly.r.01
107,or,CC,
107,indirectly,RB,indirectly.r.01
107,impacted,VBN,impact.v.01
107,in,IN,
107,terms,NNS,term.n.02
107,of,IN,
107,legal,JJ,legal.a.01
107,rights,NNS,right.n.01
107,interests,NNS,interest.n.01
107,life,NN,life.n.01
107,health,NN,health.n.01
107,property,NN,property.n.01
107,reputation,NN,reputation.n.01
107,or,CC,
107,access,NN,access.n.01
107,to,TO,
107,services,NNS,service.n.01
107,due,JJ,due.a.01
107,to,IN,
107,the,DT,
107,deployment,NN,deployment.n.01
107,or,CC,
107,output,NN,output.n.01
107,of,IN,
107,an,DT,
107,artificial,JJ,artificial.a.01
107,intelligence,NN,intelligence.n.01
107,system,NN,system.n.01
108,Serious,JJ,serious.a.01
108,incident,NN,incident.n.01
108,is,VBZ,be.v.02
108,an,DT,
108,event,NN,event.n.01
108,occurring,VBG,occur.v.01
108,during,IN,
108,the,DT,
108,operation,NN,operation.n.01
108,of,IN,
108,an,DT,
108,artiﬁcial,JJ,artificial.a.01
108,intelligence,NN,intelligence.n.01
108,system,NN,system.n.01
108,that,DT,
108,causes,VBZ,cause.v.01
108,or,CC,
108,risks,NNS,risk.n.01
108,causing,VBG,cause.v.01
108,significant,JJ,significant.a.01
108,damage,NN,damage.n.01
108,to,TO,
108,human,JJ,human.a.01
108,life,NN,life.n.01
108,health,NN,health.n.01
108,fundamental,JJ,fundamental.a.01
108,rights,NNS,right.n.01
108,property,NN,property.n.01
108,cybersecurity,NN,
108,public,JJ,public.a.01
108,order,NN,order.n.01
108,the,DT,
108,environment,NN,environment.n.01
108,or,CC,
108,disrupts,VBZ,disrupt.v.01
108,the,DT,
108,operation,NN,operation.n.01
108,of,IN,
108,critical,JJ,critical.a.01
108,information,NN,information.n.01
108,systems,NNS,system.n.01
108,for,IN,
108,national,JJ,national.a.01
108,security,NN,security.n.01
109,Human-centric,JJ,human-centered.a.01
109,ensuring,VB,ensure.v.01
109,human,JJ,human.a.01
109,rights,NNS,right.n.01
109,privacy,NN,privacy.n.01
109,national,JJ,national.a.01
109,interests,NNS,interest.n.01
109,public,JJ,public.a.01
109,interests,NNS,interest.n.01
109,and,CC,
109,national,JJ,national.a.01
109,security,NN,security.n.01
109,;,,
109,complying,VBG,comply.v.01
109,with,IN,
109,the,DT,
109,Constitution,NN,constitution.n.01
109,and,CC,
109,the,DT,
109,law,NN,law.n.01
109,.,,
110,Artiﬁcial,JJ,artificial.a.01
110,intelligence,NN,intelligence.n.01
110,serves,VB,serve.v.01
110,humans,NNS,human.n.01
110,and,CC,
110,does,VBZ,do.v.01
110,not,RB,
110,replace,VB,replace.v.01
110,human,JJ,human.a.01
110,authority,NN,authority.n.01
110,and,CC,
110,responsibility,NN,responsibility.n.01
110,.,.,
111,Ensure,VB,ensure.v.01
111,the,DT,
111,maintenance,NN,maintenance.n.01
111,of,IN,
111,human,JJ,human.a.01
111,control,NN,control.n.01
111,and,CC,
111,the,DT,
111,ability,NN,ability.n.01
111,to,TO,
111,intervene,VB,intervene.v.01
111,in,IN,
111,every,DT,
111,decision,NN,decision.n.01
111,and,CC,
111,behavior,NN,behavior.n.01
111,of,IN,
111,artificial,JJ,artificial.a.01
111,intelligence,NN,intelligence.n.01
111,systems,NNS,system.n.01
111,;,,
111,system,NN,system.n.01
111,safety,NN,safety.n.01
111,data,NN,data.n.01
111,security,NN,security.n.01
111,and,CC,
111,information,NN,information.n.01
111,confidentiality,NN,confidentiality.n.01
111,;,,
111,the,DT,
111,ability,NN,ability.n.01
111,to,TO,
111,inspect,VB,inspect.v.01
111,and,CC,
111,supervise,VB,supervise.v.01
111,the,DT,
111,development,NN,development.n.01
111,and,CC,
111,operation,NN,operation.n.01
111,process,NN,process.n.01
111,of,IN,
111,the,DT,
111,system,NN,system.n.01
112,Ensure,VB,ensure.v.01
112,fairness,NN,fairness.n.01
112,transparency,NN,transparency.n.01
112,non-bias,NN,
112,non-discrimination,NN,non-discrimination.n.01
112,and,CC,
112,no,DT,
112,harm,NN,harm.n.01
112,to,IN,
112,humans,NNS,human.n.01
112,or,CC,
112,society,NN,society.n.01
112,;,,
112,comply,VB,comply.v.01
112,with,IN,
112,ethical,JJ,ethical.a.01
112,standards,NNS,standard.n.01
112,and,CC,
112,Vietnamese,JJ,Vietnamese.a.01
112,cultural,JJ,cultural.a.01
112,values,NNS,value.n.01
112,;,,
112,perform,VB,perform.v.01
112,accountability,NN,accountability.n.01
112,for,IN,
112,the,DT,
112,decisions,NNS,decision.n.01
112,and,CC,
112,consequences,NNS,consequence.n.01
112,of,IN,
112,the,DT,
112,system,NN,system.n.01
113,Encourage,VB,encourage.v.01
113,controlled,JJ,controlled.a.01
113,technology,NN,technology.n.01
113,testing,NN,testing.n.01
113,;,,
113,apply,VB,apply.v.01
113,management,NN,management.n.01
113,measures,NNS,measure.n.01
113,proportionate,JJ,proportionate.a.01
113,to,IN,
113,the,DT,
113,level,NN,level.n.01
113,of,IN,
113,risk,NN,risk.n.01
113,and,CC,
113,encourage,VB,encourage.v.01
113,voluntary,JJ,voluntary.a.01
113,compliance,NN,compliance.n.01
113,mechanisms,NNS,mechanism.n.01
114,Prioritize,VB,prioritize.v.01
114,investment,NN,investment.n.01
114,and,CC,
114,mobilization,NN,mobilization.n.01
114,of,IN,
114,social,JJ,social.a.01
114,resources,NNS,resource.n.02
114,to,TO,
114,develop,VB,develop.v.01
114,data,NN,data.n.01
114,infrastructure,NN,infrastructure.n.01
114,computing,NN,computing.n.01
114,infrastructure,NN,infrastructure.n.01
114,safe,JJ,safe.a.01
114,artiﬁcial,JJ,artificial.a.01
114,intelligence,NN,intelligence.n.01
114,high-quality,JJ,
114,human,JJ,human.a.01
114,resources,NNS,resource.n.02
114,and,CC,
114,shared,JJ,shared.a.01
114,artiﬁcial,JJ,artificial.a.01
114,intelligence,NN,intelligence.n.01
114,platforms,NNS,platform.n.01
114,of,IN,
114,national,JJ,national.a.01
114,strategic,JJ,strategic.a.01
114,importance,NN,importance.n.01
115,Promote,VB,promote.v.01
115,the,DT,
115,application,NN,application.n.01
115,of,IN,
115,artiﬁcial,JJ,artificial.a.01
115,intelligence,NN,intelligence.n.01
115,in,IN,
115,business,NN,business.n.01
115,activities,NNS,activity.n.01
115,and,CC,
115,key,JJ,key.a.01
115,economic,JJ,economic.a.01
115,and,CC,
115,social,JJ,social.a.01
115,sectors,NNS,sector.n.01
115,;,,
115,develop,VB,develop.v.01
115,the,DT,
115,startup,NN,startup.n.01
115,and,CC,
115,innovation,NN,innovation.n.01
115,ecosystem,NN,ecosystem.n.01
115,;,,
115,encourage,VB,encourage.v.01
115,public-private,JJ,
115,partnerships,NNS,partnership.n.01
116,The,DT,
116,application,NN,application.n.01
116,of,IN,
116,artificial,JJ,artificial.a.01
116,intelligence,NN,intelligence.n.01
116,in,IN,
116,sectors,NNS,sector.n.01
116,and,CC,
116,fields,NNS,field.n.01
116,must,MD,
116,comply,VB,comply.v.01
116,with,IN,
116,risk,NN,risk.n.01
116,management,NN,management.n.01
116,principles,NNS,principle.n.01
116,as,IN,
116,prescribed,VBN,prescribe.v.01
116,by,IN,
116,this,DT,
116,Law,NN,law.n.01
116,and,CC,
116,relevant,JJ,relevant.a.01
116,laws,NNS,law.n.01
116,.,.,
117,The,DT,
117,Government,NN,government.n.01
117,ministries,NNS,ministry.n.01
117,and,CC,
117,ministerial-level,JJ,ministerial.a.01
117,agencies,NNS,agency.n.01
117,within,IN,
117,the,DT,
117,scope,NN,scope.n.01
117,of,IN,
117,their,PRP$,
117,functions,NNS,function.n.01
117,duties,NNS,duty.n.01
117,and,CC,
117,powers,NNS,power.n.01
117,shall,MD,
117,detail,VB,detail.v.01
117,requirements,NNS,requirement.n.01
117,for,IN,
117,safety,NN,safety.n.01
117,risk,NN,risk.n.01
117,management,NN,management.n.01
117,and,CC,
117,deployment,NN,deployment.n.01
117,conditions,NNS,condition.n.01
117,for,IN,
117,the,DT,
117,application,NN,application.n.01
117,of,IN,
117,artificial,JJ,artificial.a.01
117,intelligence,NN,intelligence.n.01
117,in,IN,
117,the,DT,
117,sectors,NNS,sector.n.01
117,and,CC,
117,fields,NNS,field.n.01
117,under,IN,
117,their,PRP$,
117,management,NN,management.n.01
117,ensuring,VBG,ensure.v.01
117,consistency,NN,consistency.n.01
117,with,IN,
117,this,DT,
117,Law,NN,law.n.01
118,Taking,VB,take.v.01
118,advantage,NN,advantage.n.01
118,of,IN,
118,or,CC,
118,misappropriating,VB,misappropriate.v.01
118,artiﬁcial,JJ,artificial.a.01
118,intelligence,NN,intelligence.n.01
118,systems,NNS,system.n.01
118,to,TO,
118,commit,VB,commit.v.01
118,violations,NNS,violation.n.01
118,of,IN,
118,the,DT,
118,law,NN,law.n.01
118,infringing,VBG,infringe.v.01
118,upon,IN,
118,the,DT,
118,rights,NNS,right.n.01
118,and,CC,
118,legal,JJ,legal.a.01
118,interests,NNS,interest.n.01
118,of,IN,
118,organizations,NNS,organization.n.01
118,and,CC,
118,individuals,NNS,individual.n.01
118,.,.,
119,Collecting,VB,collect.v.01
119,processing,VB,process.v.01
119,or,CC,
119,using,VB,use.v.01
119,data,NN,data.n.01
119,to,TO,
119,develop,VB,develop.v.01
119,train,VB,train.v.01
119,test,VB,test.v.01
119,or,CC,
119,operate,VB,operate.v.01
119,artiﬁcial,JJ,artificial.a.01
119,intelligence,NN,intelligence.n.01
119,systems,NNS,system.n.02
119,contrary,JJ,contrary.a.01
119,to,TO,
119,legal,JJ,legal.a.01
119,regulations,NNS,regulation.n.01
119,on,IN,
119,data,NN,data.n.01
119,personal,JJ,personal.a.01
119,data,NN,data.n.01
119,protection,NN,protection.n.01
119,intellectual,JJ,intellectual.a.01
119,property,NN,property.n.01
119,and,CC,
119,cybersecurity,NN,
120,Obstructing,VBG,obstruct.v.01
120,disabling,VBG,disable.v.01
120,or,CC,
120,falsifying,VBG,falsify.v.01
120,human,JJ,human.a.01
120,supervision,NN,supervision.n.01
120,intervention,NN,intervention.n.01
120,and,CC,
120,control,NN,control.n.01
120,mechanisms,NNS,mechanism.n.01
120,over,IN,
120,artificial,JJ,artificial.a.01
120,intelligence,NN,intelligence.n.01
120,systems,NNS,system.n.01
120,as,IN,
120,prescribed,VBN,prescribe.v.01
120,by,IN,
120,this,DT,
120,Law,NN,law.n.01
121,Taking,VBG,take.v.01
121,advantage,NN,advantage.n.01
121,of,IN,
121,research,NN,research.n.01
121,testing,NN,test.n.01
121,evaluation,NN,evaluation.n.01
121,or,CC,
121,verification,NN,verification.n.01
121,activities,NNS,activity.n.01
121,of,IN,
121,artificial,JJ,artificial.a.01
121,intelligence,NN,intelligence.n.01
121,systems,NNS,system.n.01
121,to,TO,
121,commit,VB,commit.v.01
121,acts,NNS,act.n.01
121,contrary,JJ,contrary.a.01
121,to,TO,
121,the,DT,
121,law,NN,law.n.01
121,.,.,
122,One-stop,JJ,
122,electronic,JJ,electronic.a.01
122,portal,NN,portal.n.01
122,for,IN,
122,artiﬁcial,JJ,artificial.a.01
122,intelligence,NN,intelligence.n.01
122,and,CC,
122,national,JJ,national.a.01
122,database,NN,database.n.01
122,on,IN,
122,artiﬁcial,JJ,artificial.a.01
122,intelligence,NN,intelligence.n.01
122,systems,NNS,system.n.01
122,1,CD,
123,The,DT,
123,national,JJ,national.a.01
123,database,NN,database.n.01
123,on,IN,
123,artificial,JJ,artificial.a.01
123,intelligence,NN,intelligence.n.01
123,systems,NNS,system.n.01
123,is,VBZ,be.v.02
123,built,VBN,build.v.01
123,and,CC,
123,managed,VBN,manage.v.01
123,uniformly,RB,uniformly.r.01
123,to,TO,
123,serve,VB,serve.v.01
123,the,DT,
123,management,NN,management.n.01
123,supervision,NN,supervision.n.01
123,and,CC,
123,publicizing,VBG,publicize.v.01
123,of,IN,
123,information,NN,information.n.01
123,about,IN,
123,artificial,JJ,artificial.a.01
123,intelligence,NN,intelligence.n.01
123,systems,NNS,system.n.01
123,according,IN,
123,to,TO,
123,law,NN,law.n.01
124,The,DT,
124,publicization,NN,
124,connection,NN,connection.n.01
124,and,CC,
124,sharing,NN,sharing.n.01
124,of,IN,
124,data,NN,data.n.01
124,on,IN,
124,the,DT,
124,one-stop,JJ,
124,electronic,JJ,electronic.a.01
124,portal,NN,portal.n.01
124,for,IN,
124,artiﬁcial,JJ,artificial.a.01
124,intelligence,NN,intelligence.n.01
124,and,CC,
124,the,DT,
124,national,JJ,national.a.01
124,database,NN,database.n.01
124,on,IN,
124,artiﬁcial,JJ,artificial.a.01
124,intelligence,NN,intelligence.n.01
124,systems,NNS,system.n.01
124,must,MD,
124,ensure,VB,ensure.v.01
124,information,NN,information.n.01
124,safety,NN,safety.n.01
124,and,CC,
124,security,NN,security.n.01
124,;,,
124,protect,VB,protect.v.01
124,state,NN,state.n.01
124,secrets,NNS,secret.n.01
124,business,NN,business.n.01
124,secrets,NNS,secret.n.01
124,and,CC,
124,personal,JJ,personal.a.01
124,data,NN,data.n.01
124,.,,
125,The,DT,
125,Government,NN,government.n.01
125,details,NNS,detail.n.01
125,the,DT,
125,operation,NN,operation.n.01
125,management,NN,management.n.01
125,and,CC,
125,exploitation,NN,exploitation.n.01
125,mechanism,NN,mechanism.n.01
125,of,IN,
125,the,DT,
125,one-stop,JJ,
125,electronic,JJ,electronic.a.01
125,portal,NN,portal.n.01
125,for,IN,
125,artificial,JJ,artificial.a.01
125,intelligence,NN,intelligence.n.01
125,and,CC,
125,the,DT,
125,national,JJ,national.a.01
125,database,NN,database.n.01
125,on,IN,
125,artificial,JJ,artificial.a.01
125,intelligence,NN,intelligence.n.01
125,systems,NNS,system.n.01
126,Chapter,NN,chapter.n.01
126,II,NNP,II.n.01
126,:,,
126,CLASSIFICATION,NN,class.n.01
126,AND,CC,
126,MANAGEMENT,NN,management.n.01
126,OF,IN,
126,ARTIFICIAL,JJ,artificial.a.01
126,INTELLIGENCE,NN,intelligence.n.01
126,SYSTEMS,NNS,system.n.01
126,ACCORDING,IN,
126,TO,IN,
126,RISK,NN,risk.n.01
126,Article,NN,article.n.01
126,9,CD,9.n.01
126,.,,
127,Providers,NN,provider.n.01
127,shall,MD,
127,self-classify,VB,classify.v.01
127,artificial,JJ,artificial.a.01
127,intelligence,NN,intelligence.n.01
127,systems,NNS,system.n.01
127,before,IN,
127,putting,VBG,put.v.01
127,them,PRP,
127,into,IN,
127,use,NN,use.n.01
127,.,.,
128,Systems,NNS,system.n.02
128,classified,VBD,classify.v.01
128,as,IN,
128,medium-risk,JJ,
128,or,CC,
128,high-risk,JJ,high-risk.a.01
128,must,MD,
128,be,VB,be.v.02
128,accompanied,VBN,accompany.v.01
128,by,IN,
128,classification,NN,classification.n.01
128,dossiers,NNS,dossier.n.01
129,Deployers,NN,
129,may,MD,
129,inherit,VB,inherit.v.01
129,the,DT,
129,classification,NN,classification.n.01
129,results,NNS,result.n.01
129,from,IN,
129,providers,NNS,provider.n.01
129,and,CC,
129,are,VBP,be.v.02
129,responsible,JJ,responsible.a.01
129,for,IN,
129,ensuring,VBG,ensure.v.01
129,the,DT,
129,safety,NN,safety.n.01
129,and,CC,
129,integrity,NN,integrity.n.01
129,of,IN,
129,the,DT,
129,system,NN,system.n.01
129,during,IN,
129,use,NN,use.n.01
129,;,,
129,in,IN,
129,case,NN,case.n.01
129,of,IN,
129,modification,NN,modification.n.01
129,integration,NN,integration.n.01
129,or,CC,
129,change,NN,change.n.01
129,of,IN,
129,functions,NNS,function.n.01
129,that,IN,
129,generate,VB,generate.v.01
129,new,JJ,new.a.01
129,or,CC,
129,higher,JJR,high.a.02
129,risks,NNS,risk.n.01
129,they,PRP,
129,shall,MD,
129,coordinate,VB,coordinate.v.01
129,with,IN,
129,the,DT,
129,provider,NN,provider.n.01
129,to,TO,
129,perform,VB,perform.v.01
129,re-classification,NN,reclassification.n.01
129,.,,
130,For,IN,
130,systems,NNS,system.n.02
130,classified,VBN,classify.v.01
130,as,IN,
130,medium-risk,JJ,
130,or,CC,
130,high-risk,JJ,high-risk.a.01
130,providers,NNS,provider.n.01
130,must,MD,
130,notify,VB,notify.v.01
130,the,DT,
130,classification,NN,classification.n.01
130,results,NNS,result.n.01
130,to,TO,
130,the,DT,
130,Ministry,NNP,Ministry.n.01
130,of,IN,
130,Science,NNP,science.n.01
130,and,CC,
130,Technology,NNP,technology.n.01
130,through,IN,
130,the,DT,
130,one-stop,JJ,
130,electronic,JJ,electronic.a.01
130,portal,NN,portal.n.01
130,for,IN,
130,artificial,JJ,artificial.a.01
130,intelligence,NN,intelligence.n.01
130,before,IN,
130,putting,VBG,put.v.01
130,them,PRP,
130,into,IN,
130,use,NN,use.n.01
130,.,.,
131,Organizations,NNS,organization.n.01
131,and,CC,
131,individuals,NNS,individual.n.01
131,developing,VBG,develop.v.01
131,low-risk,JJ,
131,artificial,JJ,artificial.a.01
131,intelligence,NN,intelligence.n.01
131,systems,NNS,system.n.01
131,are,VBP,be.v.02
131,encouraged,VBN,encourage.v.01
131,to,TO,
131,make,VB,make.v.01
131,basic,JJ,basic.a.01
131,system,NN,system.n.01
131,information,NN,information.n.01
131,public,JJ,public.a.01
131,to,TO,
131,increase,VB,increase.v.01
131,transparency,NN,transparency.n.01
132,In,IN,
132,cases,NNS,case.n.01
132,where,WRB,
132,the,DT,
132,risk,NN,risk.n.01
132,level,NN,level.n.01
132,cannot,MD,
132,be,VB,be.v.02
132,determined,VBN,determine.v.01
132,providers,NNS,provider.n.01
132,may,MD,
132,request,VB,request.v.01
132,the,DT,
132,Ministry,NNP,Ministry.n.01
132,of,IN,
132,Science,NNP,science.n.01
132,and,CC,
132,Technology,NNP,technology.n.01
132,for,IN,
132,guidance,NN,guidance.n.01
132,on,IN,
132,the,DT,
132,classiﬁcation,NN,classification.n.01
132,level,NN,level.n.01
132,based,VBN,based.a.01
132,on,IN,
132,technical,JJ,technical.a.01
132,dossiers,NNS,dossier.n.01
132,.,,
133,The,DT,
133,Government,NN,government.n.01
133,details,NNS,detail.n.01
133,the,DT,
133,content,NN,content.n.01
133,to,TO,
133,be,VB,be.v.02
133,notiﬁed,VBN,notify.v.01
133,orders,NNS,order.n.01
133,procedures,NNS,procedure.n.01
133,for,IN,
133,notiﬁcation,NN,notification.n.01
133,and,CC,
133,technical,JJ,technical.a.01
133,guidance,NN,guidance.n.01
133,on,IN,
133,risk,NN,risk.n.01
133,classiﬁcation,NN,classification.n.01
133,.,.,
134,Providers,NN,provider.n.01
134,shall,MD,
134,ensure,VB,ensure.v.01
134,that,IN,
134,artiﬁcial,JJ,artificial.a.01
134,intelligence,NN,intelligence.n.01
134,systems,NNS,system.n.01
134,interacting,VBG,interact.v.01
134,directly,RB,
134,with,IN,
134,humans,NNS,human.n.01
134,are,VBP,be.v.02
134,designed,VBN,design.v.01
134,and,CC,
134,operated,VBN,operate.v.01
134,so,RB,
134,that,IN,
134,users,NNS,user.n.01
134,recognize,VB,recognize.v.01
134,they,PRP,
134,are,VBP,be.v.02
134,interacting,VBG,interact.v.01
134,with,IN,
134,the,DT,
134,system,NN,system.n.01
134,except,IN,
134,where,WRB,
134,otherwise,RB,
134,provided,VBN,provide.v.01
134,by,IN,
134,law,NN,law.n.01
134,.,,
135,Providers,NN,provider.n.01
135,shall,MD,
135,ensure,VB,ensure.v.01
135,that,IN,
135,audio,NN,audio.n.01
135,image,NN,image.n.01
135,and,CC,
135,video,NN,video.n.01
135,content,NN,content.n.01
135,generated,VBN,generate.v.01
135,by,IN,
135,artificial,JJ,artificial.a.01
135,intelligence,NN,intelligence.n.01
135,systems,NNS,system.n.01
135,are,VBP,be.v.02
135,marked,VBN,mark.v.01
135,in,IN,
135,machine-readable,JJ,machine_readable.a.01
135,formats,NNS,format.n.01
135,according,IN,
135,to,IN,
135,Government,NNP,government.n.01
135,regulations,NNS,regulation.n.01
135,.,,
136,Deployers,NNS,
136,are,VBP,be.v.02
136,responsible,JJ,responsible.a.01
136,for,IN,
136,clearly,RB,clearly.r.01
136,notifying,VBG,notify.v.01
136,when,WRB,
136,providing,VBG,provide.v.01
136,the,DT,
136,public,NN,public.n.01
136,with,IN,
136,text,NN,text.n.01
136,audio,NN,audio.n.01
136,images,NNS,image.n.01
136,or,CC,
136,videos,NNS,video.n.01
136,generated,VBN,generate.v.01
136,or,CC,
136,edited,VBN,edit.v.01
136,by,IN,
136,artificial,JJ,artificial.a.01
136,intelligence,NN,intelligence.n.01
136,systems,NNS,system.n.01
136,if,IN,
136,such,JJ,such.a.01
136,content,NN,content.n.01
136,is,VBZ,be.v.02
136,capable,JJ,capable.a.01
136,of,IN,
136,causing,VBG,cause.v.01
136,confusion,NN,confusion.n.01
136,about,IN,
136,the,DT,
136,authenticity,NN,authenticity.n.01
136,of,IN,
136,events,NNS,event.n.01
136,or,CC,
136,characters,NNS,character.n.01
136,except,IN,
136,where,WRB,
136,otherwise,RB,otherwise.r.01
136,provided,VBN,provide.v.01
136,by,IN,
136,law,NN,law.n.01
137,Deployers,NNS,
137,are,VBP,
137,responsible,JJ,responsible.a.01
137,for,IN,
137,ensuring,VBG,ensure.v.01
137,that,IN,
137,audio,NN,audio.n.01
137,images,NNS,image.n.01
137,and,CC,
137,videos,NNS,video.n.01
137,generated,VBN,generate.v.01
137,or,CC,
137,edited,VBN,edit.v.01
137,by,IN,
137,artificial,JJ,artificial.a.01
137,intelligence,NN,intelligence.n.01
137,systems,NNS,system.n.01
137,to,TO,
137,simulate,VB,simulate.v.01
137,or,CC,
137,emulate,VB,emulate.v.01
137,the,DT,
137,appearance,NN,appearance.n.01
137,or,CC,
137,voice,NN,voice.n.01
137,of,IN,
137,real,JJ,real.a.01
137,people,NNS,person.n.01
137,or,CC,
137,recreate,VB,recreate.v.01
137,real,JJ,real.a.01
137,events,NNS,event.n.01
137,must,MD,
137,be,VB,be.v.02
137,attached,VBN,attach.v.01
137,with,IN,
137,recognizable,JJ,recognizable.a.01
137,labels,NNS,label.n.01
137,to,TO,
137,distinguish,VB,distinguish.v.01
137,them,PRP,
137,from,IN,
137,real,JJ,real.a.01
137,content,NN,content.n.01
137,.,.,
138,Providers,NN,provider.n.01
138,and,CC,
138,deployers,NN,
138,are,VBP,be.v.02
138,responsible,JJ,responsible.a.01
138,for,IN,
138,maintaining,VB,maintain.v.01
138,transparent,JJ,transparent.a.01
138,information,NN,information.n.01
138,as,IN,
138,prescribed,VBN,prescribe.v.01
138,in,IN,
138,this,DT,
138,Article,NN,article.n.01
138,throughout,IN,
138,the,DT,
138,process,NN,process.n.01
138,of,IN,
138,providing,VB,provide.v.01
138,the,DT,
138,system,NN,system.n.01
