Sentence_ID,Token,POS,Candidates,Selected_Synset,FOL_Predicate
2,perform,VB,perform.v.01 (carry out or perform an action) | perform.v.02 (perform a function) | perform.v.03 (give a performance (of something)) | do.v.03 (get (something) done),,
2,artificial,JJ,artificial.a.01 (contrived by art rather than nature) | artificial.s.01 (artificially formal) | artificial.s.02 (not arising from natural growth or characterized by vital processes),,
2,intelligence,NN,intelligence.n.01 (the ability to comprehend; to understand and profit from experience) | intelligence.n.02 (a unit responsible for gathering and interpreting information about an enemy) | intelligence.n.03 (secret information about an enemy (or potential enemy)) | news.n.01 (information about recent and important events) | intelligence.n.05 (the operation of gathering information about an enemy),,
2,capabilities,NNS,capability.n.01 (the quality of being capable -- physically or intellectually or legally) | capability.n.02 (the susceptibility of something to a particular treatment) | capability.n.03 (an aptitude that may be developed),,
2,varying,VBG,"change.v.03 (become different in some particular way, without permanently losing one's or its former characteristics or essence) | deviate.v.02 (be at variance with; be out of line with) | vary.v.03 (be subject to change in accordance with a variable) | vary.v.04 (make something more diverse and varied) | varying.s.01 (marked by diversity or difference)",,
2,levels,NNS,degree.n.01 (a position on a scale of intensity or amount or quality) | grade.n.02 (a relative position or degree of value in a graded group) | degree.n.02 (a specific identifiable position in a continuum or series or especially in a process) | level.n.04 (height above ground) | level.n.05 (indicator that establishes the horizontal when a bubble is centered in a tube of liquid),,
2,autonomy,NN,autonomy.n.01 (immunity from arbitrary exercise of authority: political independence) | autonomy.n.02 (personal independence),,
3,Developer,NNP,developer.n.01 (someone who develops real estate (especially someone who prepares a site for residential or commercial use)) | developer.n.02 (photographic equipment consisting of a chemical solution for developing film),,
3,is,VBZ,"be.v.01 (have the quality of being; (copula, used with an adjective or a predicate noun)) | be.v.02 (be identical to; be someone or something) | be.v.03 (occupy a certain position or area; be somewhere) | exist.v.01 (have an existence, be extant) | be.v.05 (happen, occur, take place)",,
3,organization,NN,organization.n.01 (a group of people who work together) | arrangement.n.03 (an organized structure for arranging or classifying) | administration.n.02 (the persons (or committees or departments etc.) who make up a body for the purpose of administering something) | organization.n.04 (the act of organizing a business or an activity related to a business) | organization.n.05 (an ordered manner; orderliness by virtue of being methodical and well organized),,
3,individual,JJ,person.n.01 (a human being) | individual.n.02 (a single organism) | individual.a.01 (being or characteristic of a single thing or person) | individual.s.01 (separate and distinct from others of the same kind) | individual.s.02 (characteristic of or meant for a single person or thing),,
3,designs,VBZ,design.n.01 (the act of working out the form of something (as by making a sketch or outline or plan)) | design.n.02 (an arrangement scheme) | blueprint.n.01 (something intended as a guide for making something else) | design.n.04 (a decorative or artistic work) | purpose.n.01 (an anticipated outcome that is intended or that guides your planned actions),,
3,builds,NNS,physique.n.01 (constitution of the human body) | human_body.n.01 (alternative names for the body of a human being) | construct.v.01 (make by combining materials and parts) | build_up.v.02 (form or accumulate steadily) | build.v.03 (build or establish something abstract),,
3,trains,NNS,train.n.01 (public transport provided by a line of railway cars coupled together and drawn by a locomotive) | string.n.04 (a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding) | caravan.n.01 (a procession (of wagons or mules or camels) traveling together in single file) | train.n.04 (a series of consequences wrought by an event) | train.n.05 (piece of cloth forming the long back section of a gown that is drawn along the floor),,
3,tests,NNS,trial.n.02 (trying something to find out about it) | test.n.02 (any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc) | examination.n.02 (a set of questions or exercises evaluating skill or knowledge) | test.n.04 (the act of undergoing testing) | test.n.05 (the act of testing something),,
3,fine-tunes,NNS,polish.v.02 (improve or perfect by pruning or polishing) | fine-tune.v.02 (adjust finely) | calibrate.v.01 (make fine adjustments or divide into marked intervals for optimal measuring),,
3,artificial,JJ,artificial.a.01 (contrived by art rather than nature) | artificial.s.01 (artificially formal) | artificial.s.02 (not arising from natural growth or characterized by vital processes),,
3,intelligence,NN,intelligence.n.01 (the ability to comprehend; to understand and profit from experience) | intelligence.n.02 (a unit responsible for gathering and interpreting information about an enemy) | intelligence.n.03 (secret information about an enemy (or potential enemy)) | news.n.01 (information about recent and important events) | intelligence.n.05 (the operation of gathering information about an enemy),,
3,system,NN,system.n.01 (instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity) | system.n.02 (a group of independent but interrelated elements comprising a unified whole) | system.n.03 ((physical chemistry) a sample of matter in which substances in different phases are in equilibrium) | system.n.04 (a complex of methods or rules governing behavior) | arrangement.n.03 (an organized structure for arranging or classifying),,
4,Provider,NN,supplier.n.01 (someone whose business is to supply a particular service or commodity) | provider.n.02 (someone who provides the means for subsistence),,
4,is,VBZ,"be.v.01 (have the quality of being; (copula, used with an adjective or a predicate noun)) | be.v.02 (be identical to; be someone or something) | be.v.03 (occupy a certain position or area; be somewhere) | exist.v.01 (have an existence, be extant) | be.v.05 (happen, occur, take place)",,
4,organization,NN,organization.n.01 (a group of people who work together) | arrangement.n.03 (an organized structure for arranging or classifying) | administration.n.02 (the persons (or committees or departments etc.) who make up a body for the purpose of administering something) | organization.n.04 (the act of organizing a business or an activity related to a business) | organization.n.05 (an ordered manner; orderliness by virtue of being methodical and well organized),,
4,individual,JJ,person.n.01 (a human being) | individual.n.02 (a single organism) | individual.a.01 (being or characteristic of a single thing or person) | individual.s.01 (separate and distinct from others of the same kind) | individual.s.02 (characteristic of or meant for a single person or thing),,
4,brings,VBZ,bring.v.01 (take something or somebody with oneself somewhere) | bring.v.02 (cause to come into a particular state or condition) | bring.v.03 (cause to happen or to occur as a consequence) | bring.v.04 (go or come after and bring or take back) | bring.v.05 (bring into a different state),,
4,artificial,JJ,artificial.a.01 (contrived by art rather than nature) | artificial.s.01 (artificially formal) | artificial.s.02 (not arising from natural growth or characterized by vital processes),,
4,intelligence,NN,intelligence.n.01 (the ability to comprehend; to understand and profit from experience) | intelligence.n.02 (a unit responsible for gathering and interpreting information about an enemy) | intelligence.n.03 (secret information about an enemy (or potential enemy)) | news.n.01 (information about recent and important events) | intelligence.n.05 (the operation of gathering information about an enemy),,
4,system,NN,system.n.01 (instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity) | system.n.02 (a group of independent but interrelated elements comprising a unified whole) | system.n.03 ((physical chemistry) a sample of matter in which substances in different phases are in equilibrium) | system.n.04 (a complex of methods or rules governing behavior) | arrangement.n.03 (an organized structure for arranging or classifying),,
4,market,NN,market.n.01 (the world of commercial activity where goods and services are bought and sold) | market.n.02 (the customers for a particular product or service) | grocery_store.n.01 (a marketplace where groceries are sold) | market.n.04 (the securities markets in the aggregate) | marketplace.n.02 (an area in a town where a public mercantile establishment is set up),,
5,Deployer,NNP,,,
5,is,VBZ,"be.v.01 (have the quality of being; (copula, used with an adjective or a predicate noun)) | be.v.02 (be identical to; be someone or something) | be.v.03 (occupy a certain position or area; be somewhere) | exist.v.01 (have an existence, be extant) | be.v.05 (happen, occur, take place)",,
5,organization,NN,organization.n.01 (a group of people who work together) | arrangement.n.03 (an organized structure for arranging or classifying) | administration.n.02 (the persons (or committees or departments etc.) who make up a body for the purpose of administering something) | organization.n.04 (the act of organizing a business or an activity related to a business) | organization.n.05 (an ordered manner; orderliness by virtue of being methodical and well organized),,
5,individual,JJ,person.n.01 (a human being) | individual.n.02 (a single organism) | individual.a.01 (being or characteristic of a single thing or person) | individual.s.01 (separate and distinct from others of the same kind) | individual.s.02 (characteristic of or meant for a single person or thing),,
5,uses,VBZ,use.n.01 (the act of using) | function.n.02 (what something is used for) | use.n.03 (a particular service) | consumption.n.03 ((economics) the utilization of economic goods to satisfy needs or in manufacturing) | habit.n.02 ((psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition),,
5,artificial,JJ,artificial.a.01 (contrived by art rather than nature) | artificial.s.01 (artificially formal) | artificial.s.02 (not arising from natural growth or characterized by vital processes),,
5,intelligence,NN,intelligence.n.01 (the ability to comprehend; to understand and profit from experience) | intelligence.n.02 (a unit responsible for gathering and interpreting information about an enemy) | intelligence.n.03 (secret information about an enemy (or potential enemy)) | news.n.01 (information about recent and important events) | intelligence.n.05 (the operation of gathering information about an enemy),,
5,system,NN,system.n.01 (instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity) | system.n.02 (a group of independent but interrelated elements comprising a unified whole) | system.n.03 ((physical chemistry) a sample of matter in which substances in different phases are in equilibrium) | system.n.04 (a complex of methods or rules governing behavior) | arrangement.n.03 (an organized structure for arranging or classifying),,
5,professional,JJ,professional.n.01 (a person engaged in one of the learned professions) | professional.n.02 (an athlete who plays for pay) | master.n.09 (an authority qualified to teach apprentices) | professional.a.01 (engaged in a profession or engaging in as a profession or means of livelihood) | professional.a.02 (of or relating to or suitable as a profession),,
5,purposes,NNS,purpose.n.01 (an anticipated outcome that is intended or that guides your planned actions) | function.n.02 (what something is used for) | determination.n.02 (the quality of being determined to do or achieve something; firmness of purpose) | aim.v.02 (propose or intend) | purpose.v.02 (reach a decision),,
6,User,NNP,user.n.01 (a person who makes use of a thing; someone who uses or employs something) | exploiter.n.01 (a person who uses something or someone selfishly or unethically) | drug_user.n.01 (a person who takes drugs),,
6,is,VBZ,"be.v.01 (have the quality of being; (copula, used with an adjective or a predicate noun)) | be.v.02 (be identical to; be someone or something) | be.v.03 (occupy a certain position or area; be somewhere) | exist.v.01 (have an existence, be extant) | be.v.05 (happen, occur, take place)",,
6,organization,NN,organization.n.01 (a group of people who work together) | arrangement.n.03 (an organized structure for arranging or classifying) | administration.n.02 (the persons (or committees or departments etc.) who make up a body for the purpose of administering something) | organization.n.04 (the act of organizing a business or an activity related to a business) | organization.n.05 (an ordered manner; orderliness by virtue of being methodical and well organized),,
6,individual,JJ,person.n.01 (a human being) | individual.n.02 (a single organism) | individual.a.01 (being or characteristic of a single thing or person) | individual.s.01 (separate and distinct from others of the same kind) | individual.s.02 (characteristic of or meant for a single person or thing),,
6,interacts,VBZ,interact.v.01 (act together or towards others or with others),,
6,artificial,JJ,artificial.a.01 (contrived by art rather than nature) | artificial.s.01 (artificially formal) | artificial.s.02 (not arising from natural growth or characterized by vital processes),,
6,intelligence,NN,intelligence.n.01 (the ability to comprehend; to understand and profit from experience) | intelligence.n.02 (a unit responsible for gathering and interpreting information about an enemy) | intelligence.n.03 (secret information about an enemy (or potential enemy)) | news.n.01 (information about recent and important events) | intelligence.n.05 (the operation of gathering information about an enemy),,
6,system,NN,system.n.01 (instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity) | system.n.02 (a group of independent but interrelated elements comprising a unified whole) | system.n.03 ((physical chemistry) a sample of matter in which substances in different phases are in equilibrium) | system.n.04 (a complex of methods or rules governing behavior) | arrangement.n.03 (an organized structure for arranging or classifying),,
7,Serious,JJ,serious.a.01 (concerned with work or important matters rather than play or trivialities) | serious.s.01 (of great consequence) | dangerous.s.01 (causing fear or anxiety by threatening great harm) | good.s.14 (appealing to the mind) | unplayful.a.01 (completely lacking in playfulness),,
7,incident,NN,incident.n.01 (a single distinct event) | incident.n.02 (a public disturbance) | incident.a.01 (falling or striking of light rays on something) | incidental.a.01 ((sometimes followed by `to') minor or casual or subordinate in significance or nature or occurring as a chance concomitant or consequence),,
7,is,VBZ,"be.v.01 (have the quality of being; (copula, used with an adjective or a predicate noun)) | be.v.02 (be identical to; be someone or something) | be.v.03 (occupy a certain position or area; be somewhere) | exist.v.01 (have an existence, be extant) | be.v.05 (happen, occur, take place)",,
7,event,NN,event.n.01 (something that happens at a given place and time) | event.n.02 (a special set of circumstances) | event.n.03 (a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory) | consequence.n.01 (a phenomenon that follows and is caused by some previous phenomenon),,
7,occurring,VBG,happen.v.01 (come to pass) | occur.v.02 (come to one's mind; suggest itself) | occur.v.03 (to be found to exist),,
7,operation,NN,operation.n.01 (the state of being in effect or being operative) | operation.n.02 (a business especially one run on a large scale) | operation.n.03 (a planned activity involving many people performing various actions) | operation.n.04 ((computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction)) | operation.n.05 (activity by a military or naval force (as a maneuver or campaign)),,
7,artificial,JJ,artificial.a.01 (contrived by art rather than nature) | artificial.s.01 (artificially formal) | artificial.s.02 (not arising from natural growth or characterized by vital processes),,
7,intelligence,NN,intelligence.n.01 (the ability to comprehend; to understand and profit from experience) | intelligence.n.02 (a unit responsible for gathering and interpreting information about an enemy) | intelligence.n.03 (secret information about an enemy (or potential enemy)) | news.n.01 (information about recent and important events) | intelligence.n.05 (the operation of gathering information about an enemy),,
7,system,NN,system.n.01 (instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity) | system.n.02 (a group of independent but interrelated elements comprising a unified whole) | system.n.03 ((physical chemistry) a sample of matter in which substances in different phases are in equilibrium) | system.n.04 (a complex of methods or rules governing behavior) | arrangement.n.03 (an organized structure for arranging or classifying),,
7,causes,VBZ,cause.n.01 (events that provide the generative force that is the origin of something) | cause.n.02 (a justification for something existing or happening) | campaign.n.02 (a series of actions advancing a principle or tending toward a particular end) | causal_agent.n.01 (any entity that produces an effect or is responsible for events or results) | lawsuit.n.01 (a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy),,
7,significant,JJ,significant.a.01 (important in effect or meaning) | significant.s.01 (fairly large) | significant.a.03 (too closely correlated to be attributed to chance and therefore indicating a systematic relation) | meaning.s.01 (rich in significance or implication),,
7,damage,NN,damage.n.01 (the occurrence of a change for the worse) | damage.n.02 (loss of military equipment) | damage.n.03 (the act of damaging something or someone) | price.n.02 (the amount of money needed to purchase something) | wrong.n.02 (any harm or injury resulting from a violation of a legal right),,
8,damage,NN,damage.n.01 (the occurrence of a change for the worse) | damage.n.02 (loss of military equipment) | damage.n.03 (the act of damaging something or someone) | price.n.02 (the amount of money needed to purchase something) | wrong.n.02 (any harm or injury resulting from a violation of a legal right),,
8,affect,VB,affect.n.01 (the conscious subjective aspect of feeling or emotion) | affect.v.01 (have an effect upon) | affect.v.02 (act physically on; have an effect upon) | involve.v.01 (connect closely and often incriminatingly) | feign.v.01 (make believe with the intent to deceive),,
8,human,JJ,"homo.n.02 (any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage) | human.a.01 (characteristic of humanity) | human.a.02 (relating to a person) | human.a.03 (having human form or attributes as opposed to those of animals or divine beings)",,
8,life,NN,life.n.01 (a characteristic state or mode of living) | life.n.02 (the experience of being alive; the course of human events and activities) | life.n.03 (the course of existence of an individual; the actions and events that occur in living) | animation.n.01 (the condition of living or the state of being alive) | life.n.05 (the period during which something is functional (as between birth and death)),,
8,health,NN,health.n.01 (a healthy state of wellbeing free from disease) | health.n.02 (the general condition of body and mind),,
8,property,NN,property.n.01 (something owned; any tangible or intangible possession that is owned by someone) | property.n.02 (a basic or essential attribute shared by all members of a class) | place.n.02 (any area set aside for a particular purpose) | property.n.04 (a construct whereby objects or individuals can be distinguished) | property.n.05 (any movable articles or objects used on the set of a play or movie),,
8,environment,NN,environment.n.01 (the totality of surrounding conditions) | environment.n.02 (the area in which something exists or lives),,
